Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,[IFNg] serum,[IgE] serum,[IgG1] serum,[IgG2a] serum,[IL-4] serum,[IL-5] serum,[IL-10] serum,[IFNg] Ag MLN stim,[IFN] CD3 MLN stim,[IFN] Media MLN stim,[IL-5] Media MLN stim,[IL-5] Ag MLN stim,[IL-5] CD3 MLN stim,[IL-10] Media MLN stim,[IL-10] CD MLN stim,[IL-10] Ag MLN stim,[IL-17]Media MLN stim,[IL-17] CD MLN stim,[IL-17] Ag MLN stim,[GAPDH] QPCR Gut,[Arg1] QPCR Gut,[CD36] QPCR Gut,[Idlr] QPCR Gut,[iNOS] QPCR Gut,[PPARg1&2] QPCR Gut,[RELMa] QPCR Gut,[Arg1] QPCR Spleen,[CD36] QPCR Spleen,[GAPDH] QPCR Spleen,[Idlr] QPCR Spleen,[iNOS] QPCR spleen,[PPARg1&2] QPCR spleen,[RELMa] QPCR spleen,wean BW,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9,BW10,BW11,BW12,BWd9,BWd21,FinalBW,ADWG,ADWG expt,ADWG expt diet,FI 1,FI 2,FI 3,FI 4,FI 5,FI 6,FI 7,FI 8,FI 9,FI 10,FI 11,ADFI,ADFI expt,spleen wt,gut wt,Spl_BW,Gut_BW,granulomas,colon contents,wet carcass wt,dry carcass wt,DMR ratio,Fat %,EIC,Adult Male,Adult Female,Juv Male,Juv Female,Total worms,tWB,PCF,Juv Per
SB-105,64,ROL,0_1,0,1,LP,9.000,0.000,0.065,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.455,2.352,0.281,1.225,0.116,0.000,0.000,0.000,0.201,0.000,0.000,0.100,0.000,0.003,0.000,0.591,0.092,0.320,0.803,0.094,0.316,0.093,,8.110,7.680,8.560,8.570,9.190,10.500,11.130,11.440,11.450,,,,11.820,,11.820,0.112,0.142,0.110,1.608,3.213,1.438,2.313,2.260,3.003,3.163,2.217,,,,,,0.041,0.728,3.469,61.591,0.000,0.040,11.040,4.000,0.362,10.742,0.000,2.000,3.000,0.000,0.000,5.000,0.778,0.000,0.000
SB-105,65,ROL,1_1,1,1,HP,9.000,0.000,0.181,"1,600.000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.080,1.752,0.116,0.594,0.254,0.000,0.000,1.099,0.669,0.054,0.181,0.101,0.078,0.048,0.024,0.601,0.061,0.320,4.020,0.237,0.168,0.035,,9.240,9.720,12.370,12.830,13.250,14.480,15.720,15.750,16.280,,,,16.690,,16.690,0.226,0.188,0.184,1.888,3.927,2.870,2.990,2.985,3.040,2.220,2.030,,,,,,0.040,0.811,2.397,48.592,3.000,0.030,15.670,5.800,0.370,11.625,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,66,ROL,1_0,1,0,HP,21.000,0.000,0.048,800.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,0.016,0.000,0.001,0.004,0.346,0.000,0.000,0.287,0.168,0.692,5.200,0.193,0.395,0.017,,11.300,12.860,13.240,14.500,13.890,15.250,16.240,16.280,17.730,17.550,18.250,19.010,,19.820,19.820,0.258,0.286,0.381,2.923,3.733,3.233,2.423,2.683,2.873,2.425,2.213,2.460,2.213,2.368,,,0.059,0.827,2.977,41.726,1.000,0.160,17.850,7.000,0.392,14.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,67,ROL,1_1,1,1,LP,21.000,0.000,0.319,"12,800.000",0.000,0.000,0.000,0.000,,,,,,,,,,,,,0.629,0.003,0.167,0.064,0.046,0.055,0.008,0.007,0.000,0.007,0.006,0.001,0.000,0.000,,9.360,10.110,12.010,12.740,13.090,14.760,13.750,14.250,14.520,14.730,15.350,15.070,,15.340,15.340,0.181,0.145,0.048,2.553,3.463,2.830,2.673,2.715,2.563,2.835,2.427,2.775,2.397,2.345,,,0.048,0.817,3.129,53.259,1.000,0.160,13.780,5.000,0.363,10.801,"1,917.000",6.000,5.000,0.000,0.000,11.000,1.079,383.400,0.000
SB-105,68,ROL,0_1,0,1,HP,9.000,0.000,0.123,800.000,0.000,0.094,0.050,0.000,0.000,9.318,0.000,0.000,0.000,3.671,0.324,1.975,0.138,0.000,0.157,0.000,0.344,0.005,0.000,1.065,0.020,0.012,0.006,6.525,0.105,0.516,4.390,0.110,0.396,0.137,4.540,6.470,7.600,9.080,10.670,12.020,12.840,13.690,13.840,14.490,,,,14.220,,14.220,0.293,0.223,0.115,1.273,2.450,2.755,2.857,3.300,2.170,2.138,1.890,,,,,,0.090,0.757,6.308,53.235,0.000,0.070,13.070,4.500,0.344,8.706,0.000,8.000,12.000,0.000,0.000,20.000,1.322,0.000,0.000
SB-105,69,ROL,0_0,0,0,LP,21.000,0.000,0.064,0.000,0.000,0.000,0.000,,0.000,5.264,0.125,0.000,0.000,0.000,0.044,0.098,0.031,0.000,0.820,0.000,0.151,0.000,0.000,0.020,0.649,0.005,0.000,0.153,0.030,0.240,1.135,0.105,0.284,0.002,5.050,6.620,7.300,8.150,11.100,10.730,12.830,12.080,11.720,12.500,12.670,13.140,13.180,,13.310,13.310,0.250,0.224,0.040,1.260,2.103,3.028,2.153,3.353,1.967,2.408,2.183,2.405,2.623,2.505,,,0.035,0.610,2.630,45.830,0.000,0.060,11.960,4.300,0.360,10.427,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,70,ROL,0_1,0,1,HP,9.000,0.000,0.044,0.000,0.000,0.000,0.000,,,6.047,0.000,0.000,0.176,3.978,0.138,1.657,0.386,0.000,0.223,0.000,0.007,0.000,0.000,0.249,0.000,0.000,0.000,0.715,0.237,0.001,2.420,0.128,0.489,0.049,4.740,5.980,7.190,8.990,11.220,11.380,13.500,14.270,13.600,14.890,,,,15.070,,15.070,0.313,0.264,0.131,1.265,2.737,2.875,2.927,3.573,2.547,2.058,2.143,,,,,,0.085,0.843,5.627,55.939,0.000,0.180,13.170,4.700,0.357,10.126,24.000,14.000,9.000,0.000,1.000,24.000,1.398,2.667,4.167
SB-105,71,ROL,0_1,0,1,HP,21.000,0.000,0.148,"1,600.000",0.000,0.000,0.000,,0.000,4.459,0.000,0.000,0.315,0.339,0.055,0.176,0.098,0.000,0.682,0.000,0.528,0.000,0.008,2.525,0.024,0.040,0.001,0.189,0.077,0.323,1.355,0.098,0.104,0.019,5.200,7.650,8.660,10.810,12.510,12.420,13.370,14.190,14.410,15.720,15.740,15.990,16.950,,16.610,16.610,0.346,0.252,0.270,1.378,3.110,3.215,2.777,3.455,2.563,2.123,2.130,1.765,2.233,2.210,,,0.050,0.864,3.010,52.017,0.000,0.060,11.960,6.000,0.502,26.489,"3,118.500",21.000,14.000,0.000,0.000,35.000,1.556,222.750,0.000
SB-105,72,ROL,1_0,1,0,LP,21.000,0.000,0.038,"1,600.000",0.000,0.060,0.000,0.000,1.063,9.560,1.191,0.000,0.115,0.476,0.049,0.536,0.072,0.000,4.048,0.000,0.001,0.000,0.000,0.004,0.013,0.000,0.000,0.286,0.099,0.312,3.360,0.155,0.293,0.005,5.620,8.400,10.100,12.350,14.000,11.800,14.750,14.240,14.040,14.660,14.930,15.310,15.750,,15.840,15.840,0.310,0.152,0.091,1.768,3.397,3.105,2.297,3.850,2.443,2.765,2.517,2.428,2.880,2.765,,,0.036,0.723,2.273,45.644,3.000,0.100,14.000,5.500,0.393,14.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,*,*
SB-105,73,ROL,1_1,1,1,LP,21.000,0.000,0.484,"124,000.000",400.000,0.000,0.000,0.000,0.000,2.612,0.000,0.000,0.244,0.927,0.071,0.519,0.199,0.000,0.411,0.000,0.432,0.000,0.127,0.005,0.007,0.081,0.005,0.456,0.031,0.333,1.100,0.132,0.107,0.004,6.290,8.400,9.500,11.620,13.750,11.370,13.900,13.860,12.830,13.600,13.870,14.330,14.500,,14.890,14.890,0.261,0.142,0.083,1.665,3.063,3.120,2.187,3.698,2.320,2.218,3.033,2.558,2.877,2.690,,,0.054,0.937,3.627,62.928,9.000,0.100,13.280,4.900,0.369,11.494,"1,147.500",9.000,26.000,0.000,0.000,35.000,1.556,44.135,0.000
